Line Number	Encoder Layer	Translation
"Du vergleichst hier ja Äpfel mit Birnen!
"	3	- Ah!
"Du vergleichst hier ja Äpfel mit Birnen!
"	4	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	5	You're comparing apples to peas!
"Du vergleichst hier ja Äpfel mit Birnen!
"	6	You're comparing apples to peas!
"Du vergleichst hier ja Äpfel mit Birnen!
"	7	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	8	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	9	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	10	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	11	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	12	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	13	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	14	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	15	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	16	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	17	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	18	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	19	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	20	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	21	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	22	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	23	You're comparing apples to pears!
"Du vergleichst hier ja Äpfel mit Birnen!
"	24	You're comparing apples to pears!
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	0	so, as a in a. so-
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	1	"That would be like, ""with a"" or ""a"" "
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	2	It would be like that.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	3	It'd be a great place to meet a girl.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	4	That would be like you were going to be like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like, like
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	5	That would be like you were comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	6	That would be like you'd be comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	7	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	8	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	9	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	10	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	11	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	12	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	13	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	14	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	15	That would be like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	16	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	17	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	18	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	19	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	20	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	21	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	22	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	23	That's like comparing apples to pears.
"Das wäre ja so, als würdest du Äpfel mit Birnen vergleichen.
"	24	That's like comparing apples to pears.
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	0	It's also one of the best! - und! und! und! und! und! und! und! und! und!! und! und!! und!! und! und!!! und!!!!!!!!! und!!!!!!!!!!!!!!!!!!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	1	We are the only ones who have a fucking job in the­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	2	I' Jetzt!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	3	- I know it.
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	4	We've been going and going and we're in the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	5	We've been going and are now on the world! 
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	6	We've been going and are now at the end of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	7	We've gone and are now at the bottom of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	8	We've gone and are now at the bottom of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	9	We've gone and are now at the bottom of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	10	We've gone off the road and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	11	We've gone off the road and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	12	We've gone off the road and we're in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	13	We've gone off the road and we're in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	14	We've gone off course and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	15	We've lost our way and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	16	We've lost our way and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	17	We've lost our way and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	18	We're lost and we're in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	19	We've lost our way and are now in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	20	We've lost our way and are now on the edge of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	21	We've lost our way and are now on the edge of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	22	We're lost and we're in the middle of nowhere!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	23	We're lost and we're in the ass of the world!
"Wir haben uns verfahren und sind jetzt am Arsch der Welt!
"	24	We're lost and we're in the ass of the world!
"Wieso führst du mich an den Arsch der Welt?
"	0	Why?  Why?  Why?  Why?  Nur an?
"Wieso führst du mich an den Arsch der Welt?
"	1	Why did you put the hat on?
"Wieso führst du mich an den Arsch der Welt?
"	2	- What?
"Wieso führst du mich an den Arsch der Welt?
"	3	I know.
"Wieso führst du mich an den Arsch der Welt?
"	4	Why are you leading me to the world?
"Wieso führst du mich an den Arsch der Welt?
"	5	Why are you leading me to the world?
"Wieso führst du mich an den Arsch der Welt?
"	6	Why are you leading me to the world's ass?
"Wieso führst du mich an den Arsch der Welt?
"	7	Why are you leading me to the world?
"Wieso führst du mich an den Arsch der Welt?
"	8	Why are you leading me to the world?
"Wieso führst du mich an den Arsch der Welt?
"	9	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	10	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	11	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	12	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	13	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	14	Why are you leading me to the shithole?
"Wieso führst du mich an den Arsch der Welt?
"	15	Why are you leading me to the shithole of the world?
"Wieso führst du mich an den Arsch der Welt?
"	16	Why are you leading me to the shithole?
"Wieso führst du mich an den Arsch der Welt?
"	17	Why are you leading me to the bottom of the world?
"Wieso führst du mich an den Arsch der Welt?
"	18	Why are you leading me to the bottom of the world?
"Wieso führst du mich an den Arsch der Welt?
"	19	Why are you leading me to the bottom of the world?
"Wieso führst du mich an den Arsch der Welt?
"	20	Why are you leading me to the bottom of the world?
"Wieso führst du mich an den Arsch der Welt?
"	21	Why are you leading me to the bottom of the world?
"Wieso führst du mich an den Arsch der Welt?
"	22	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	23	Why are you leading me to the ass of the world?
"Wieso führst du mich an den Arsch der Welt?
"	24	Why are you leading me to the ass of the world?
"Es wäre besser, wenn du den Ball flach halten würdest.
"	0	in a mixer, in a once more _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
"Es wäre besser, wenn du den Ball flach halten würdest.
"	1	It would be better if you were to keep the balls.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	2	It' -
"Es wäre besser, wenn du den Ball flach halten würdest.
"	3	It'd be nice to see that boy.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	4	It would be better if you were holding the ball.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	5	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	6	It'd be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	7	It'd be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	8	It'd be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	9	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	10	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	11	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	12	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	13	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	14	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	15	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	16	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	17	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	18	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	19	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	20	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	21	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	22	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	23	It would be better if you kept the ball flat.
"Es wäre besser, wenn du den Ball flach halten würdest.
"	24	It would be better if you kept the ball flat.
"Er hielt den Ball flach und versteckte sich.
"	0	Errata und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und und.
"Er hielt den Ball flach und versteckte sich.
"	1	I'm not sure I'd like to see him.
"Er hielt den Ball flach und versteckte sich.
"	2	And I
"Er hielt den Ball flach und versteckte sich.
"	3	I was a really good girl.
"Er hielt den Ball flach und versteckte sich.
"	4	He held the ball and hid himself.
"Er hielt den Ball flach und versteckte sich.
"	5	He held the ball and hid himself.
"Er hielt den Ball flach und versteckte sich.
"	6	He held the ball flat and hid himself.
"Er hielt den Ball flach und versteckte sich.
"	7	He held the ball flat and hid himself.
"Er hielt den Ball flach und versteckte sich.
"	8	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	9	He kept the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	10	He kept the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	11	He kept the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	12	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	13	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	14	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	15	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	16	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	17	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	18	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	19	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	20	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	21	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	22	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	23	He held the ball flat and hid.
"Er hielt den Ball flach und versteckte sich.
"	24	He held the ball flat and hid.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	0	Not the same as the und und put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put put
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	1	Not the bank and it's not the same.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	2	- No. - No. and Und.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	3	- No.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	4	Don't put that on the bank and don't do it.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	5	Don't put that on the long bank and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	6	Don't put that on the long bank and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	7	Don't put that on the long bench and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	8	Don't put that on the long bank and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	9	Don't put that on the long bank and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	10	Don't put that on the long shelf and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	11	Don't put that on the long shelf and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	12	Don't put that on the long shelf and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	13	Don't put this on the long table and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	14	Don't put that on the back burner and do it right away.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	15	Don't put it off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	16	Don't put this off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	17	Don't put it off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	18	Don't put this off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	19	Don't put this off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	20	Don't put this off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	21	Don't put it off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	22	Don't put this off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	23	Don't put it off and do it now.
"Schieb das nicht auf die lange Bank und erledige es gleich.
"	24	Don't put it off and do it now.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	0	The table was again on your own. the. the. your. your.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	1	You'll have to work on the- - the- - the- - the- - the- - the- - the- - the- - the- -
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	2	I Jetzt jetzt.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	3	You'll see me in a morning.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	4	You're putting your housework back on the long bank.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	5	You're putting your housework back on the long bank.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	6	You're pushing your housework back onto the long bank.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	7	You're putting your housework back on the long bench.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	8	You're putting your housework back on the long bench.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	9	You're putting your housework back on the long bench.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	10	You're putting your homework on the long bench.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	11	You're putting your homework on the long table.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	12	You're putting your homework on the long table.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	13	You're putting your homework on the back burner.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	14	You're putting your homework on the back burner.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	15	You're putting your homework on the back burner.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	16	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	17	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	18	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	19	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	20	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	21	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	22	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	23	You're putting your homework on the back burner again.
"Du schiebst deine Hausarbeiten wieder auf die lange Bank.
"	24	You're putting your homework on the back burner again.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	0	in your own, in a. as a once, in
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	1	If you're not going to the movies, you're going to the movies.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	2	You' Sie haben Sie.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	3	If you'd like to have a talk.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	4	If you don't say anything, you'll be looking through the eyes again.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	5	If you don't say anything, you'll look through the fingers again.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	6	If you don't say anything, you'll look through the fingers again.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	7	If you don't say anything, you'll look through your fingers.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	8	If you don't say anything, you'll look through your fingers.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	9	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	10	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	11	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	12	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	13	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	14	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	15	If you don't say anything, you'll look the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	16	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	17	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	18	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	19	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	20	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	21	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	22	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	23	If you don't say anything, you'll be looking the other way.
"Wenn du nichts sagst, wirst du wieder durch die Finger schauen.
"	24	If you don't say anything, you'll be looking the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	0	The same as the F. und the same. the same. the same.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	1	I'm not going to theat­ing to have a single­­­­­a­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­­
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	2	And I -
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	3	You'll be in a new place.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	4	Phillipp doesn't get anything and looks back through the fingers.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	5	Phillipp doesn't get anything and looks through the fingers again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	6	Phillipp doesn't get anything and looks through the fingers again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	7	Phillip doesn't get anything and is already looking through his fingers.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	8	Philip doesn't get anything and looks through his fingers again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	9	Philip doesn't get anything and he's already looking through his fingers.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	10	Philip gets nothing and looks again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	11	Philip gets nothing and looks again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	12	Philip gets nothing and looks again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	13	Philip doesn't get anything and he's already looking the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	14	Philip gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	15	Phillipe gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	16	Phillipe gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	17	Phillipp gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	18	Phillipp gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	19	Phillipp gets nothing and looks the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	20	Phillip doesn't get anything and he's already looking the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	21	Phillip doesn't get anything and he's already looking the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	22	Phillip doesn't get anything and he's already looking the other way.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	23	Phillipp gets nothing and already looks through his fingers again.
"Phillipp bekommt nichts und schaut schon wieder durch die Finger.
"	24	Phillipp gets nothing and already looks through his fingers again.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	0	in a-hand-on-
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	1	The only way to get a job is to get a job in the O Sieine.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	2	- It's a -
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	3	It's a nice place.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	4	The Party is a thing, here is where the Bär is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	5	The party is a thing of beauty, here is the real thing.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	6	The party is a madness, here the bear is really stepping.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	7	The party is a madness, here the bear is really stepping.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	8	The party is a madhouse, here is the real bear.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	9	The party is a madhouse, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	10	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	11	The party is a madness, here is really the bear.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	12	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	13	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	14	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	15	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	16	The party is crazy, this is where the bear is.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	17	The party is crazy, here is really the bear.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	18	The party is crazy, here the bear is really stepping.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	19	The party is crazy, here is really the bear.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	20	The party is crazy, the bear is really stepping here.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	21	The party is crazy, here is really the bear.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	22	This party is crazy, this is where the bear really steps.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	23	This party is crazy, this is where the bear really gets his kicks.
"Die Party ist ein Wahnsinn, hier steppt ja richtig der Bär.
"	24	This party is crazy, this is where the bear really gets his kicks.
